geneID	expression	category	ASW1	ASW2	ASW3	ASW4	ASW5	ASW6	LPS1	LPS2	LPS3	LPS4	LPS5	LPS6
TRINITY_DN101261_c0_g1	variable	no_annotation	-1.254922651	-1.254922651	-1.254922651	-1.254922651	-1.254922651	-1.254922651	-1.254922651	-1.254922651	6.463480077	-1.254922651	-1.254922651	6.085746428
TRINITY_DN1026_c1_g3	consistent	Signaling_cascades	5.004620393	4.702809619	-1.626134526	4.773327129	-1.471680933	-1.626134526	-1.626134526	-1.626134526	-1.626134526	-1.626134526	-1.626134526	-1.626134526
TRINITY_DN104402_c0_g1	variable	no_annotation	-1.268599193	-1.268599193	-1.268599193	-1.268599193	-1.268599193	-1.268599193	-1.268599193	-1.268599193	6.434868392	-1.268599193	-1.268599193	6.25112354
TRINITY_DN10518_c0_g2	variable	no_annotation	-0.668269433	-0.668269433	-0.668269433	-0.668269433	-0.668269433	-0.668269433	-0.668269433	-0.668269433	3.533442833	-0.668269433	-0.668269433	3.149251502
TRINITY_DN1081_c0_g1	variable	no_annotation	-1.420676582	-1.420676582	-1.420676582	-1.420676582	-1.420676582	-1.420676582	-1.420676582	-1.420676582	3.714570968	-1.420676582	5.450119649	3.621398619
TRINITY_DN10902_c0_g1	variable	no_annotation	-1.234162349	-1.234162349	-1.234162349	-1.234162349	-1.234162349	-1.234162349	6.366605445	-1.234162349	-1.234162349	-1.234162349	5.975018048	-1.234162349
TRINITY_DN11009_c0_g1	consistent	Recognition/cell_adhesion/protein_binding	-0.156710279	2.018045095	-1.792100413	1.845923902	1.52046122	2.034154714	0.585055548	-1.740199311	-1.671834364	-0.920998146	-0.782969402	-0.938828565
TRINITY_DN11160_c0_g1	variable	no_annotation	-1.433216167	-1.433216167	-1.433216167	-1.433216167	-1.433216167	-1.433216167	5.906758508	-1.433216167	3.325140316	-1.433216167	-1.433216167	3.667046682
TRINITY_DN113092_c0_g1	consistent	Unknown	-0.171158934	-0.171158934	-0.171158934	-0.171158934	-0.171158934	-0.171158934	-0.171158934	-0.171158934	0.89579131	-0.171158934	-0.171158934	0.815798029
TRINITY_DN1165_c0_g2	variable	no_annotation	-0.812498559	3.67742966	-0.812498559	3.764084042	-0.129026667	-0.812498559	-0.812498559	-0.812498559	-0.812498559	-0.812498559	-0.812498559	-0.812498559
TRINITY_DN12_c7_g1	variable	Unknown	-2.625957871	-1.842809273	0.188359471	-2.514871728	-1.051644442	-0.319658815	0.764137171	0.122252193	3.720748012	0.092757304	-0.890918142	4.357606119
TRINITY_DN1224_c0_g2	consistent	no_annotation	3.926805812	3.103745561	-1.820259282	4.011896542	-1.820259282	3.519626342	-1.820259282	-1.820259282	-1.820259282	-1.820259282	-1.820259282	-1.820259282
TRINITY_DN12293_c0_g2	variable	Other	0.261400673	-1.169020541	-1.144012407	-0.789862239	0.001838459	-1.139297713	4.198313276	0.311334994	-1.433256692	-0.235391301	2.257383886	-1.119430396
TRINITY_DN12427_c0_g1	consistent	Signaling_cascades	3.952391347	0.079444062	-1.17464549	0.253175943	3.489074663	-0.133077115	-0.53532846	-1.507314084	-1.114724907	-1.402756225	-0.551911344	-1.35432839
TRINITY_DN12488_c0_g1	consistent	Unknown	-0.45486224	0.800940597	-0.45486224	0.339241659	2.953577902	-0.45486224	-0.45486224	-0.45486224	-0.45486224	-0.45486224	-0.45486224	-0.45486224
TRINITY_DN12599_c6_g1	consistent	no_annotation	-1.643263788	-1.643263788	-1.643263788	-1.643263788	-1.643263788	-1.643263788	3.045532019	-1.208168636	3.595217383	-1.643263788	3.439864463	2.630401287
TRINITY_DN12746_c7_g1	consistent	no_annotation	-0.227671404	1.040762989	-0.227671404	1.235951053	-0.227671404	-0.227671404	-0.227671404	-0.227671404	-0.227671404	-0.227671404	-0.227671404	-0.227671404
TRINITY_DN12757_c0_g3	consistent	no_annotation	-0.197461263	-0.197461263	-0.197461263	-0.197461263	-0.197461263	-0.197461263	-0.197461263	-0.197461263	0.966681385	-0.197461263	-0.197461263	1.00793125
TRINITY_DN13106_c0_g1	consistent	DNA_regulation/transcription	-0.494201458	2.597667597	-0.494201458	2.344346983	-0.494201458	-0.494201458	-0.494201458	-0.494201458	-0.494201458	-0.494201458	-0.494201458	-0.494201458
TRINITY_DN134_c0_g3	consistent	Signaling_cascades	-0.427046176	-0.427046176	-0.427046176	-0.427046176	-0.427046176	-0.427046176	-0.427046176	-0.427046176	2.213111979	-0.427046176	-0.427046176	2.057349786
TRINITY_DN140911_c0_g1	consistent	no_annotation	1.163617276	0.886636587	-0.955738901	1.19579524	2.006995189	1.437128015	-0.955738901	-0.955738901	-0.955738901	-0.955738901	-0.955738901	-0.955738901
TRINITY_DN14394_c0_g2	consistent	no_annotation	-0.522667834	-0.522667834	-0.522667834	-0.522667834	-0.522667834	-0.522667834	-0.522667834	-0.522667834	2.86221087	-0.522667834	-0.522667834	2.364467467
TRINITY_DN144_c0_g5	variable	no_annotation	-0.633373916	-0.898320442	-0.930567986	-0.962218873	-0.895771511	-0.743641089	-1.075919372	-0.995943995	4.089429847	-0.994579744	0.010185	4.030722081
TRINITY_DN1486_c0_g2	variable	no_annotation	-1.163409984	5.97507686	-1.163409984	5.490380943	-1.163409984	-0.994767948	-1.163409984	-1.163409984	-1.163409984	-1.163409984	-1.163409984	-1.163409984
TRINITY_DN15037_c0_g1	consistent	no_annotation	3.286380861	4.160617051	-1.751693269	3.094603081	-2.43335494	3.385385058	-2.252635623	-1.50315056	-0.740049178	-1.730033097	-2.557295575	-0.95877381
TRINITY_DN15043_c0_g2	consistent	Metabolism/transport	0.532590011	0.241907293	-0.39104627	0.400367108	0.346155425	0.454587499	-0.512932628	-0.383979995	-0.167305221	-0.229277313	-0.374611812	0.083545903
TRINITY_DN15058_c6_g2	consistent	Metabolism/transport	-0.415783988	-0.415783988	-0.415783988	-0.415783988	-0.415783988	-0.415783988	-0.415783988	-0.415783988	2.025433876	-0.415783988	-0.415783988	2.132406001
TRINITY_DN15270_c1_g2	variable	no_annotation	5.494942831	-1.198831187	-1.181237127	-0.72920542	-0.599192109	5.178734856	-0.882223424	-0.963670674	-1.389129978	-1.099885693	-1.241172097	-1.389129978
TRINITY_DN15411_c0_g1	consistent	no_annotation	-0.531021025	-0.531021025	-0.531021025	-0.531021025	-0.531021025	-0.531021025	-0.531021025	-0.531021025	2.741599429	-0.531021025	-0.531021025	2.568610825
TRINITY_DN156436_c1_g1	variable	no_annotation	5.760338876	-1.182046602	-1.182046602	-1.182046602	6.060127147	-1.182046602	-1.182046602	-1.182046602	-1.182046602	-1.182046602	-1.182046602	-1.182046602
TRINITY_DN15732_c2_g3	variable	no_annotation	4.650572547	-0.155471559	1.892347357	0.204837627	5.020053531	-1.529834333	-1.862112616	-1.457209494	-1.862112616	-1.17684521	-1.862112616	-1.862112616
TRINITY_DN15802_c0_g1	consistent	no_annotation	2.027490139	1.845595446	-0.723390202	2.306953655	0.484585186	-0.873276354	-0.9060825	-0.800404422	-0.9060825	-0.838443783	-0.809820647	-0.807124019
TRINITY_DN15923_c0_g1	variable	no_annotation	-0.462816677	-0.462816677	-0.462816677	-0.462816677	-0.462816677	-0.462816677	1.995565327	-0.462816677	-0.462816677	-0.462816677	2.632601445	-0.462816677
TRINITY_DN16253_c0_g2	consistent	no_annotation	-0.395333748	-0.395333748	-0.395333748	-0.395333748	-0.395333748	-0.395333748	2.123704862	-0.395333748	-0.395333748	-0.395333748	1.829632617	-0.395333748
TRINITY_DN16494_c0_g2	consistent	no_annotation	-0.214184638	-0.214184638	-0.214184638	-0.214184638	0.698848362	1.442998022	-0.214184638	-0.214184638	-0.214184638	-0.214184638	-0.214184638	-0.214184638
TRINITY_DN1663_c1_g1	consistent	no_annotation	0.523737507	0.402838074	-0.791248978	1.009081495	2.378195045	1.224890725	-0.791248978	-0.791248978	-0.791248978	-0.791248978	-0.791248978	-0.791248978
TRINITY_DN167168_c0_g1	consistent	no_annotation	-0.814971141	-1.156642001	-2.094739563	-1.582765581	-1.696389192	-1.674661447	2.833204285	-2.094739563	3.8914438	-2.094739563	2.679573108	3.805426855
TRINITY_DN169754_c0_g1	variable	no_annotation	-1.056634127	-1.056634127	-1.056634127	-1.056634127	5.158927993	5.407413281	-1.056634127	-1.056634127	-1.056634127	-1.056634127	-1.056634127	-1.056634127
TRINITY_DN172_c0_g1	variable	no_annotation	5.547863285	-0.21452906	-2.127027873	0.014952049	5.845467878	-0.346140169	-0.998519032	-2.197926978	-1.277930213	-2.264786263	-0.75389904	-1.227524585
TRINITY_DN1740_c0_g1	consistent	no_annotation	1.905443893	-0.349754674	-0.349754674	-0.349754674	-0.349754674	1.592102845	-0.349754674	-0.349754674	-0.349754674	-0.349754674	-0.349754674	-0.349754674
TRINITY_DN17560_c1_g1	consistent	no_annotation	-0.380169657	1.640599208	-0.380169657	2.161097361	-0.380169657	-0.380169657	-0.380169657	-0.380169657	-0.380169657	-0.380169657	-0.380169657	-0.380169657
TRINITY_DN175809_c0_g1	variable	no_annotation	-1.455204036	-1.455204036	-1.455204036	-1.455204036	-1.455204036	-1.455204036	-1.455204036	-1.455204036	7.485643957	-1.455204036	-1.455204036	7.066396404
TRINITY_DN17600_c2_g1	consistent	no_annotation	3.279852392	0.972443085	-1.971057019	0.677058237	2.997167328	-0.212920725	-1.30216176	-1.340138378	-0.225180564	-1.5885301	-0.292821775	-0.993710721
TRINITY_DN1774_c0_g1	consistent	Recognition/cell_adhesion/protein_binding	-1.482087565	3.428179678	-0.825532506	3.043062519	3.898324834	0.376428934	-1.252014638	-0.434015745	-1.867284492	-1.083128668	-2.141098736	-1.660833614
TRINITY_DN17986_c1_g2	consistent	no_annotation	-0.507415856	2.785807467	-0.507415856	2.288351092	-0.507415856	-0.507415856	-0.507415856	-0.507415856	-0.507415856	-0.507415856	-0.507415856	-0.507415856
TRINITY_DN1804_c0_g2	consistent	no_annotation	-0.520137128	2.544228412	-0.520137128	2.657142868	-0.520137128	-0.520137128	-0.520137128	-0.520137128	-0.520137128	-0.520137128	-0.520137128	-0.520137128
TRINITY_DN18232_c0_g1	consistent	Metabolism/transport	0.204938464	1.896584889	-0.290886211	1.994984188	-0.333512286	-0.284508641	-0.496634876	-0.389118048	-0.570081321	-0.392053339	-0.667481601	-0.672231219
TRINITY_DN18433_c0_g2	consistent	no_annotation	-0.400496656	-0.400496656	-0.389649274	-0.335301555	1.328963768	2.522275656	-0.384256015	-0.365536818	-0.382910845	-0.350997395	-0.455991769	-0.385602441
TRINITY_DN18630_c2_g3	variable	Metabolism/transport	-0.572097887	2.697234543	-0.572097887	2.990938183	-0.572097887	-0.539291742	-0.572097887	-0.572097887	-0.572097887	-0.572097887	-0.572097887	-0.572097887
TRINITY_DN18928_c4_g1	consistent	no_annotation	1.494340631	1.601542427	-0.936747403	1.653016084	1.200100201	0.60823248	-0.936747403	-0.936747403	-0.936747403	-0.936747403	-0.936747403	-0.936747403
TRINITY_DN1916_c3_g1	consistent	Recognition/cell_adhesion/protein_binding	0.302745597	-0.600892977	-0.636278576	-0.639538905	-0.764476451	-0.73977418	1.178346685	0.045587758	1.531836042	-0.369449741	-0.662569873	1.354464621
TRINITY_DN19171_c9_g1	consistent	no_annotation	-0.480744803	2.285850359	-0.480744803	2.521597673	-0.480744803	-0.480744803	-0.480744803	-0.480744803	-0.480744803	-0.480744803	-0.480744803	-0.480744803
TRINITY_DN19238_c5_g1	consistent	no_annotation	-1.746280576	5.549203693	-1.746280576	4.99514596	4.966507771	-1.621952441	-1.746280576	-1.746280576	-1.746280576	-1.664940949	-1.746280576	-1.746280576
TRINITY_DN193619_c0_g1	variable	no_annotation	-2.277849104	-2.277849104	0.26713078	-2.277849104	-1.380996031	-2.277849104	-0.887181418	0.299398432	6.604500486	-0.287257231	-2.055044543	6.55084594
TRINITY_DN19430_c0_g1	variable	no_annotation	-1.036049811	-1.036049811	-1.036049811	-1.036049811	4.867976599	5.492521508	-1.036049811	-1.036049811	-1.036049811	-1.036049811	-1.036049811	-1.036049811
TRINITY_DN19486_c1_g1	consistent	Recognition/cell_adhesion/protein_binding	-0.518725252	-0.518725252	-0.518725252	-0.518725252	-0.518725252	-0.518725252	-0.518725252	-0.518725252	2.442342374	-0.518725252	-0.518725252	2.744910151
TRINITY_DN19595_c1_g1	consistent	Recognition/cell_adhesion/protein_binding	1.742771269	1.942321863	-0.629886641	1.778950415	0.147559173	0.519566555	-0.615882128	-1.021658243	-0.92799186	-0.758729953	-1.205417358	-0.971603091
TRINITY_DN1990_c0_g3	variable	no_annotation	-1.56092572	-1.56092572	-1.56092572	-1.56092572	-1.56092572	-1.56092572	1.966645117	-1.56092572	6.07722054	-1.56092572	-1.56092572	6.004465821
TRINITY_DN20021_c0_g1	consistent	no_annotation	0.410439509	1.375397214	-0.653974628	1.26610934	-0.354896611	0.955505747	-1.537174151	-1.043327811	0.338588017	-0.731383804	0.243030786	-0.268313609
TRINITY_DN20064_c0_g4	consistent	no_annotation	-0.318125755	1.887266758	-0.318125755	1.293990797	-0.318125755	-0.318125755	-0.318125755	-0.318125755	-0.318125755	-0.318125755	-0.318125755	-0.318125755
TRINITY_DN2046_c2_g1	consistent	no_annotation	0.466921535	0.76321903	-0.045361342	0.867175817	0.246310769	0.423488113	-0.57101066	-0.237870207	-0.527740086	-0.211952833	-0.642773329	-0.530406806
TRINITY_DN20532_c0_g2	consistent	no_annotation	-1.03818555	3.189632525	-1.03818555	3.114809055	-1.03818555	3.039228374	-1.03818555	-1.03818555	-1.03818555	-1.03818555	-1.03818555	-1.03818555
TRINITY_DN20532_c2_g2	variable	no_annotation	-0.727021827	3.497713071	-0.727021827	3.772505197	-0.727021827	-0.727021827	-0.727021827	-0.727021827	-0.727021827	-0.727021827	-0.727021827	-0.727021827
